timestamp_s,label,confidence,source_subject,modality,model_version,window_id
0.00,REST,0.99,synthetic-demo,emg-replay,example-decoder-v1,000
0.10,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,001
0.20,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,002
0.30,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,003
0.40,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,004
0.50,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,005
0.60,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,006
0.70,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,007
0.80,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,008
0.90,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,009
1.00,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,010
1.10,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,011
1.20,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,012
1.30,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,013
1.40,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,014
1.50,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,015
1.60,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,016
1.70,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,017
1.80,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,018
1.90,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,019
2.00,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,020
2.10,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,021
2.20,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,022
2.30,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,023
2.40,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,024
2.50,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,025
2.60,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,026
2.70,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,027
2.80,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,028
2.90,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,029
3.00,PINCH,0.95,synthetic-demo,emg-replay,example-decoder-v1,030
3.10,REST,0.99,synthetic-demo,emg-replay,example-decoder-v1,031
3.22,REST,0.99,synthetic-demo,emg-replay,example-decoder-v1,032
